type	study.phs_accession	sample.sample_id	file_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityId	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371	HTA11_999999058_1		10405-AS-0014_S1_L005_R1_001.fastq.gz	FASTQ	3197396176	219ac08c3cb8e8a6a448354292f6faae	WXS; RNA-Seq	syn68381429									
file	phs002371	HTA11_999999058_1		10405-AS-0014_S1_L005_R2_001.fastq.gz	FASTQ	3421895469	ec770d8f23e7ea070fb0f5c22b641f3a	WXS; RNA-Seq	syn68381436									
file	phs002371	HTA11_999999062_2		10405-AS-0017_S1_L005_R1_001.fastq.gz	FASTQ	5860299233	3b2df87381b3a52dca38ad0d9c598760	WXS; RNA-Seq	syn68380947									
file	phs002371	HTA11_999999062_2		10405-AS-0017_S1_L005_R2_001.fastq.gz	FASTQ	6203385162	01c668db621ab7e715dab6f38b5de6eb	WXS; RNA-Seq	syn68380986									
file	phs002371	HTA11_999999062_1		10405-AS-0018_S1_L005_R1_001.fastq.gz	FASTQ	3455578753	2bdcb67246b4943fb71f025ccb8640a1	WXS; RNA-Seq	syn68381481									
file	phs002371	HTA11_999999062_1		10405-AS-0018_S1_L005_R2_001.fastq.gz	FASTQ	3693492861	e1c3bb520fbd0c9bdd87bd5c40affc46	WXS; RNA-Seq	syn68381502									
file	phs002371	HTA11_999999074_2		10405-AS-0019_S1_L005_R1_001.fastq.gz	FASTQ	5511961909	c4f005856c73b657f455eb513f4cff4d	WXS; RNA-Seq	syn68381001									
file	phs002371	HTA11_999999074_2		10405-AS-0019_S1_L005_R2_001.fastq.gz	FASTQ	5875575243	800c7d531f99a29c7186b467fd0df9aa	WXS; RNA-Seq	syn68381025									
file	phs002371	HTA11_999999074_1		10405-AS-0020_S1_L005_R1_001.fastq.gz	FASTQ	3021408267	606c1294257d82add461bd79abc91529	WXS; RNA-Seq	syn68381507									
file	phs002371	HTA11_999999074_1		10405-AS-0020_S1_L005_R2_001.fastq.gz	FASTQ	3193575221	92485e2a8bdcf4b544ab87021dce06e6	WXS; RNA-Seq	syn68381523									
file	phs002371	HTA11_999999118_2		10405-AS-0033_S1_L005_R1_001.fastq.gz	FASTQ	4468233037	119b613c67dad0453421a30deaa3683e	WXS; RNA-Seq	syn68381206									
file	phs002371	HTA11_999999118_2		10405-AS-0033_S1_L005_R2_001.fastq.gz	FASTQ	4719793060	2c81bf94c320ebafa39f7ef0e84f36da	WXS; RNA-Seq	syn68381232									
file	phs002371	HTA11_999999118_1		10405-AS-0034_S1_L005_R1_001.fastq.gz	FASTQ	4929142050	58713ff49a9f398d661503a1f9153908	WXS; RNA-Seq	syn68381705									
file	phs002371	HTA11_999999118_1		10405-AS-0034_S1_L005_R2_001.fastq.gz	FASTQ	5181185508	29b25089a8acebee358ea7849fdb4304	WXS; RNA-Seq	syn68381721									
file	phs002371	HTA11_999999125_2		11577-NM-03_S1_L005_R1_001.fastq.gz	FASTQ	4796463016	366dc0f5e869797b10ae2f7072c9e707	WXS; RNA-Seq	syn68381247									
file	phs002371	HTA11_999999125_2		11577-NM-03_S1_L005_R2_001.fastq.gz	FASTQ	4846716711	1e5a8cb79e8d230ef35d51263801bc8c	WXS; RNA-Seq	syn68381257									
file	phs002371	HTA11_999999125_1		11577-NM-04_S1_L005_R1_001.fastq.gz	FASTQ	4873443908	90339108b520e2a7cb167a4bc610c7ed	WXS; RNA-Seq	syn68381741									
file	phs002371	HTA11_999999125_1		11577-NM-04_S1_L005_R2_001.fastq.gz	FASTQ	4854414897	b2d4529ce9b9e8ac0cd4b95f6754df96	WXS; RNA-Seq	syn68381767									
file	phs002371	HTA11_999999012_2		11991-NM-0001_S1_L005_R1_001.fastq.gz	FASTQ	3294243562	d2dc5c423aa84f05b95b217711364425	WXS; RNA-Seq	syn68380748									
file	phs002371	HTA11_999999012_2		11991-NM-0001_S1_L005_R2_001.fastq.gz	FASTQ	3360555972	1984554c96f3bf409a3af108ad07952b	WXS; RNA-Seq	syn68380760									
file	phs002371	HTA11_999999012_1		11991-NM-0002_S1_L005_R1_001.fastq.gz	FASTQ	3310886494	5acab9cc42b22a9c7fa3b5663ab70c91	WXS; RNA-Seq	syn68381311									
file	phs002371	HTA11_999999012_1		11991-NM-0002_S1_L005_R2_001.fastq.gz	FASTQ	3353385842	2a7fcf1767d6275d0f21f07641d567b6	WXS; RNA-Seq	syn68381324									
file	phs002371	HTA11_999999026_2		11991-NM-0003_S1_L005_R1_001.fastq.gz	FASTQ	2510125045	2a1b2135863b79637049460824cfb1cc	WXS; RNA-Seq	syn68380765									
file	phs002371	HTA11_999999026_2		11991-NM-0003_S1_L005_R2_001.fastq.gz	FASTQ	2562340558	39eb64d81d9886f00aeecd051ef12032	WXS; RNA-Seq	syn68380783									
file	phs002371	HTA11_999999026_1		11991-NM-0004_S1_L005_R1_001.fastq.gz	FASTQ	2346745419	0a52ec4201b06ffe373ab39812ddcd52	WXS; RNA-Seq	syn68381337									
file	phs002371	HTA11_999999026_1		11991-NM-0004_S1_L005_R2_001.fastq.gz	FASTQ	2383877086	ee50324d073d36120aaeafdef172386d	WXS; RNA-Seq	syn68381353									
file	phs002371	HTA11_999999040_2		11991-NM-0005_S1_L005_R1_001.fastq.gz	FASTQ	1994821581	2c0c8b2147b109e09c88945a9be6ac93	WXS; RNA-Seq	syn68380787									
file	phs002371	HTA11_999999040_2		11991-NM-0005_S1_L005_R2_001.fastq.gz	FASTQ	2007716372	081e323bc0d6b38abcc93e945e6f8c55	WXS; RNA-Seq	syn68380796									
